frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,743.747,436.04114,741.1447,433.43884,743.747,433.43884,733.33777,436.04114,751.55396,433.43884,728.1332,454.25732,756.7586,451.65503,720.32623,477.6781,767.1678,472.4735,728.1332,482.88275,772.37244,488.08734,735.94006,495.8943,754.15625,495.8943,735.94006,540.1336,748.95166,542.7359,735.94006,581.77057,743.747,584.37286
1,741.76575,437.85226,741.76575,435.9045,741.76575,435.9045,733.9746,435.9045,749.5569,435.9045,728.13135,455.3823,757.348,455.3823,718.39246,478.75565,765.13916,476.8079,732.02686,482.6512,769.0348,492.3901,735.9225,496.28568,753.4525,496.28568,735.9225,539.13684,747.60913,541.08466,737.87024,580.0402,743.7136,583.93585
2,740.77747,437.0747,740.77747,435.25208,740.77747,433.42944,733.4869,435.25208,749.8907,435.25208,726.1963,453.47852,757.1813,455.30115,717.08307,477.17297,764.47186,475.35028,731.66425,480.81824,768.1172,493.57678,735.3095,499.04468,753.536,499.04468,735.3095,539.14294,748.06805,540.9656,737.1322,579.24115,742.6001,584.7091
3,740.5046,435.93073,740.5046,434.13232,740.5046,434.13232,735.1093,434.13232,749.49664,434.13232,726.1173,453.91486,758.48865,455.71326,717.12524,477.2942,763.8839,477.2942,731.5125,482.6894,767.4807,493.47986,735.1093,497.07672,753.09344,497.07672,735.1093,540.2385,749.49664,540.2385,736.9077,578.0052,742.303,585.19885
4,738.94415,431.383,740.74506,429.58215,738.94415,429.58215,733.5415,434.9848,749.7495,434.9848,726.3379,454.79462,756.9531,454.79462,717.33344,476.40533,764.1567,478.20624,729.9397,481.80804,765.9576,494.41425,735.3424,499.81696,751.5504,498.01605,737.14325,539.4366,749.7495,541.2375,737.14325,577.2553,742.54596,586.2598
5,741.0419,432.95148,741.0419,429.34583,739.239,429.34583,733.83057,434.75433,750.05597,434.75433,726.61926,454.5854,759.0701,456.38824,717.6051,478.02216,764.4786,479.82495,732.0277,483.4306,766.28143,496.0504,735.63336,501.45886,751.8588,501.45886,735.63336,541.12103,748.2532,542.9239,737.4362,577.17755,742.84467,586.1917
6,741.2935,434.94113,741.2935,429.55276,739.4974,429.55276,734.109,434.94113,750.2741,434.94113,726.92456,452.9023,759.2547,456.49454,717.944,478.04794,764.64307,481.64017,730.5168,483.4363,766.43915,494.21304,735.90515,501.3975,752.0702,501.3975,735.90515,540.91205,748.47797,542.7081,737.7013,576.8344,743.0896,585.81494
7,741.464,431.27502,743.2589,427.68518,739.66907,429.4801,734.2843,434.86487,750.4386,434.86487,727.1046,452.8141,757.6183,456.404,718.12994,477.94305,764.798,479.73798,730.69446,483.32782,766.5929,494.09735,734.2843,499.48218,752.2335,499.48218,736.0792,540.76544,748.6437,542.56036,737.87415,576.6639,741.464,585.63855
8,741.99786,431.6292,743.78876,428.04742,740.207,429.83832,733.0434,435.21094,750.9523,435.21094,725.8798,453.1198,758.11584,456.7016,718.7163,478.19226,765.27936,481.77405,731.2525,483.56494,765.27936,494.31024,734.8343,499.68292,752.74316,499.68292,734.8343,540.87335,749.1614,542.6642,736.6252,576.6911,741.99786,585.6455
9,741.9981,431.7984,743.78186,428.2309,740.21436,430.01465,733.0794,433.58215,750.9169,435.3659,727.72815,453.20337,758.0519,454.98712,718.8094,478.17584,765.1869,479.95966,731.29565,483.5271,763.40314,496.01337,734.86316,499.58087,752.7006,499.58087,734.86316,540.6071,749.1331,542.39087,736.64685,578.06586,741.9981,585.20087
10,741.9461,431.0206,743.73584,427.44107,738.3666,429.23087,732.99725,434.6002,750.89496,434.6002,727.6279,452.4979,759.8438,454.2877,718.6791,477.55472,765.21313,477.55472,732.99725,482.92404,763.42334,493.6627,734.787,500.82175,752.68475,502.61154,734.787,541.9866,749.1052,543.77625,736.5768,577.782,741.9461,586.73083
11,742.2115,430.20764,744.0102,426.6103,740.41284,428.40894,733.21814,433.805,751.20483,433.805,727.82214,451.7917,758.39954,453.5904,720.62744,476.97308,763.7956,478.7718,733.21814,482.36914,763.7956,493.16113,735.0168,502.15454,753.00354,502.15454,735.0168,541.7253,749.4062,543.524,736.8155,577.6988,742.2115,584.89343
12,741.76904,430.50903,743.559,426.92908,739.97906,428.71906,734.60913,434.08893,750.7189,434.08893,727.4493,451.98865,759.6687,451.98865,720.28937,475.25824,763.24866,473.46826,736.3991,480.6281,765.03864,493.1579,736.3991,502.1078,752.50885,503.89777,734.60913,541.4871,748.9289,543.27704,736.3991,577.2865,741.76904,586.2363
13,739.844,430.61646,743.4232,427.03723,739.844,428.82684,734.4752,434.19568,750.58167,432.40607,727.3169,452.0916,759.52966,452.0916,720.15845,475.35645,763.1089,473.56683,736.2649,480.72522,763.1089,491.46283,736.2649,502.20038,754.1609,503.99,734.4752,539.782,748.792,543.3612,736.2649,577.3635,741.63367,586.3115
14,739.9317,429.61597,741.7124,427.8352,738.15094,427.8352,734.5895,433.17743,750.6161,433.17743,727.4665,450.98486,759.51984,452.76556,720.34357,475.91522,763.0813,474.13446,734.5895,481.25745,764.862,490.16113,736.3702,502.62628,754.1776,502.62628,734.5895,540.02185,748.8354,543.5833,736.3702,577.41736,741.7124,586.32104
15,740.20056,430.90305,741.9927,429.11093,740.20056,429.11093,734.8242,434.4872,750.95325,434.4872,727.6559,452.4083,759.9137,454.2004,720.4874,477.49777,763.4979,477.49777,733.0321,482.8741,765.29004,493.62674,734.8242,504.37936,752.74536,504.37936,734.8242,542.0136,749.16113,543.8057,736.61633,577.8558,741.9927,586.8163
16,740.8906,431.28284,742.67786,427.70844,739.1034,429.49567,733.7417,434.8573,751.6139,434.8573,728.38,452.7295,758.7628,456.30396,719.444,479.53784,762.3373,477.7506,733.7417,483.11224,765.9116,493.83557,735.52893,502.77167,753.4011,504.5589,735.52893,543.87775,748.0394,543.87775,735.52893,576.0477,742.67786,584.9838
17,742.76874,433.00433,742.76874,429.42432,740.97876,429.42432,733.8188,434.7943,751.7187,434.7943,728.4488,452.6942,758.8786,456.27417,719.49884,479.544,762.4586,477.75403,732.0288,483.12402,766.0386,493.86395,735.60876,502.8139,753.50867,504.60388,735.60876,543.98364,748.1387,543.98364,735.60876,576.2034,742.76874,585.1534
18,741.59515,432.8249,741.59515,429.245,739.80524,429.245,734.43536,434.61487,750.5449,434.61487,727.2756,452.51434,759.4947,456.09424,720.1158,479.3636,763.0746,479.3636,732.64545,482.94348,766.6545,493.68317,734.43536,502.63287,752.3349,504.42285,736.22534,542.0118,748.755,543.8017,736.22534,576.0208,741.59515,586.7605
19,741.66907,431.33667,743.45465,427.76544,739.8834,429.5511,734.5266,433.1223,750.5971,433.1223,727.38416,452.7641,759.5252,456.33533,720.24164,479.54834,763.09644,479.54834,734.5266,483.11957,766.66766,493.83325,734.5266,502.76135,754.16833,502.76135,734.5266,542.04486,748.8115,543.8305,736.3122,575.97156,741.66907,586.6853
20,741.3323,431.54037,743.1166,427.97177,737.7638,427.97177,734.1952,433.32468,750.2538,433.32468,727.058,452.952,759.1753,456.5206,719.9208,477.93216,764.5282,481.50076,732.4109,485.06937,766.3125,493.99088,734.1952,502.91238,753.8224,504.6967,735.9795,542.16705,748.4695,543.95135,735.9795,576.0688,743.1166,586.7746
21,741.0767,431.10956,742.8665,427.52997,739.2869,429.31976,733.9176,434.68915,751.8154,434.68915,728.5483,452.5869,758.97455,456.1665,719.59937,479.43365,764.3439,481.22345,732.1278,484.80298,767.92346,495.5417,733.9176,502.7008,751.8154,504.4906,735.7074,542.076,748.23584,543.8658,735.7074,576.08185,742.8665,585.03076
22,742.9933,432.07104,742.9933,428.43658,739.3588,428.43658,733.9071,433.8883,752.0795,433.8883,728.4554,452.06073,759.34845,455.6952,719.36914,477.50208,764.80023,479.31934,732.08984,482.95386,768.4347,493.8573,733.9071,502.94348,752.0795,504.76074,735.72437,542.9228,748.445,542.9228,735.72437,575.6332,741.1761,586.5366
23,742.79083,432.00888,744.6125,426.5439,740.9692,428.36557,733.68256,433.83054,751.89905,433.83054,728.21765,452.04703,759.18567,455.69034,717.2877,477.55014,766.4723,481.19345,730.0393,486.65842,768.29395,495.76663,735.5042,503.05325,751.89905,503.05325,735.5042,541.30786,748.2558,543.1295,737.32587,577.74084,740.9692,586.8491
24,742.5644,430.7246,744.3834,427.0865,740.74536,428.90558,735.2882,434.36273,751.65967,434.36273,728.012,452.55322,758.93585,454.37225,717.0977,476.20087,766.21204,479.839,726.19293,487.11517,769.85016,494.39136,733.4692,503.48663,751.65967,505.30566,735.2882,541.68665,748.02155,543.50574,737.10724,576.2486,742.5644,587.1629
25,742.63153,429.8132,742.63153,427.99722,740.8156,427.99722,735.36774,433.4451,751.7113,433.4451,728.10394,451.60458,758.9751,455.23648,717.20825,477.02786,766.2389,478.84384,724.47205,487.92355,769.8708,495.1874,733.5518,504.26712,751.7113,504.26712,735.36774,540.5861,748.0794,542.4021,737.1837,576.90515,742.63153,585.9849
26,743.9973,431.78714,743.9973,428.14426,740.3544,428.14426,734.89,433.6086,751.2831,433.6086,727.60425,451.8231,758.5689,453.64456,716.67554,475.50198,765.85474,477.32346,723.9613,490.07358,769.4976,495.53793,734.89,502.82376,753.10455,502.82376,734.89,541.0742,749.4617,542.8957,736.7115,577.50323,742.17584,586.61053
27,742.87427,431.21738,744.6986,427.5685,741.0498,429.3929,735.57654,433.04178,751.99646,433.04178,728.2787,451.28616,759.2942,453.11063,715.5077,476.82828,764.76746,478.65268,722.8054,491.42374,766.5919,495.0726,733.7521,502.3704,751.99646,502.3704,735.57654,540.68353,750.172,542.508,737.4009,575.34784,742.87427,586.29443
28,742.2684,431.96036,744.08716,428.32278,740.4496,428.32278,734.99316,433.7792,751.3624,433.7792,727.7179,451.96725,758.63763,453.78604,714.98627,475.61172,765.91284,477.4305,722.2615,491.981,765.91284,495.61862,734.99316,501.07504,751.3624,502.89383,734.99316,541.08875,749.5436,542.90753,736.81195,575.64606,742.2684,586.5589
29,741.60626,431.57022,745.23785,427.93857,739.7904,427.93857,736.15875,433.38608,752.5012,433.38608,728.89545,451.54434,757.94867,453.3602,716.18463,475.15018,763.3962,476.96597,723.44794,491.49265,763.3962,496.9401,734.3429,500.5718,752.5012,500.5718,736.15875,540.52,750.68536,542.3358,736.15875,575.02075,741.60626,585.9158
30,740.94495,432.4445,744.54834,428.8411,740.94495,428.8411,735.53986,434.2462,751.7551,434.2462,728.3331,452.2631,758.9619,452.2631,717.52295,475.6851,762.56525,475.6851,726.53143,493.70206,760.7636,495.5037,733.7382,502.71048,751.7551,502.71048,735.53986,540.546,749.9534,544.1494,737.34155,576.57983,742.74664,585.5884
31,740.542,432.98868,745.9291,427.6016,740.542,429.3973,735.1549,434.78433,753.1118,434.78433,727.97217,452.74118,758.4988,452.74118,717.1981,476.08505,762.0902,477.88077,726.1765,492.24625,760.29456,495.83762,735.1549,503.02036,751.31604,503.02036,735.1549,540.72974,751.31604,542.52545,736.95056,576.64343,742.33765,585.6218
32,742.2215,433.18393,744.0175,429.59183,740.4254,429.59183,736.8334,434.97995,752.99774,434.97995,727.85315,452.9404,760.1819,452.9404,717.0769,476.28897,761.97797,478.085,726.0571,494.24936,760.1819,497.84146,735.0373,503.22958,752.99774,505.02567,735.0373,540.94653,751.2017,544.5386,736.8334,576.8673,742.2215,585.84753
33,740.675,433.11746,744.2935,429.499,740.675,429.499,735.24725,434.92673,753.3398,434.92673,728.0102,453.01932,758.7676,453.01932,717.15466,476.53964,762.3861,478.34885,726.201,494.63217,760.57684,498.2507,733.438,505.4877,751.5306,505.4877,735.24725,541.67285,751.5306,545.2914,737.0565,577.858,742.48425,586.9043
34,740.5427,433.02496,744.14923,429.41852,740.5427,429.41852,736.9363,434.82825,753.16547,434.82825,727.92004,452.86066,758.5752,454.66388,715.2973,476.30286,762.18164,478.10608,726.1168,492.53198,760.3784,497.94177,735.133,505.15472,753.16547,505.15472,735.133,541.2196,751.3622,544.82605,736.9363,577.2844,742.346,586.30066
35,740.77185,432.94626,744.3792,429.3389,740.77185,429.3389,735.36084,434.7499,753.3976,434.7499,728.1462,452.7866,758.8086,454.5903,715.5205,476.23434,762.4159,479.84164,724.5388,492.46738,762.4159,499.68204,735.36084,505.09305,753.3976,505.09305,735.36084,541.1665,751.5939,544.77386,737.16455,577.2399,742.57556,586.25824
36,743.16547,432.56647,744.98,428.93744,741.35095,428.93744,735.9074,434.38098,752.23804,434.38098,728.64935,452.52612,759.4961,454.34064,715.94775,476.1148,763.1251,479.74384,725.0203,492.44543,761.3106,499.7035,734.0929,503.33252,752.23804,505.14703,735.9074,541.4373,750.4235,545.0663,735.9074,575.913,743.16547,586.8001
37,741.1083,434.1185,744.7252,428.69302,741.1083,430.5015,735.68274,434.1185,753.76776,434.1185,728.4487,452.20352,759.19324,454.012,715.78925,477.52255,762.81024,479.33102,724.8317,491.99057,761.0018,501.03305,733.87427,504.65005,751.9592,504.65005,735.68274,542.62854,750.15076,544.43713,737.4912,576.9901,742.91675,586.0326
38,743.2052,435.14838,744.9984,429.76886,743.2052,429.76886,736.0325,435.14838,753.96436,435.14838,728.85974,453.08026,759.34393,454.87347,716.30743,476.39172,762.9303,479.9781,725.2734,490.73718,761.1371,501.49634,734.2393,505.0827,752.17114,505.0827,734.2393,542.7396,750.378,544.5328,737.8257,576.8102,741.41205,585.7761
39,743.0861,433.52887,744.8809,429.93927,743.0861,429.93927,735.9069,435.32367,753.8549,433.52887,728.7277,453.27173,759.2394,455.06653,716.16406,476.6042,764.6238,480.1938,725.13806,490.9626,761.0342,501.73145,734.1121,505.32104,752.0601,505.32104,734.1121,543.0119,750.2653,544.8067,737.7017,577.11316,743.0861,586.08716
40,744.1732,432.49255,744.1732,430.71863,742.39923,430.71863,737.0774,434.26654,753.04297,434.26654,728.20764,452.0061,760.1388,453.78003,715.7899,476.84143,765.4607,482.16333,724.6597,491.03308,761.9128,503.4508,733.5295,506.99872,753.04297,506.99872,735.3034,544.2518,751.26904,544.2518,737.0774,576.1829,742.39923,585.05273
41,741.00287,432.6786,744.5428,429.13873,741.00287,430.9087,735.69305,434.44855,753.39246,434.44855,728.61334,452.14795,760.47217,453.91785,716.22375,476.92706,765.782,482.23688,725.0734,491.08655,762.2421,503.47614,733.92316,505.24603,753.39246,505.24603,733.92316,542.41473,751.6225,544.1847,737.463,577.8135,742.7728,584.89325
42,742.01355,432.4164,745.5824,428.84763,740.2292,430.63205,736.66034,434.20084,752.72003,434.20084,729.5227,452.04495,759.85767,453.82938,717.0318,478.81107,765.2109,480.5955,725.95386,491.30197,763.4265,502.00845,734.8759,505.57724,752.72003,505.57724,734.8759,543.0498,750.9356,544.8342,736.66034,576.9536,742.01355,585.8757
