frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,627.1583,302.89258,628.41187,300.38556,624.6513,300.38556,632.1724,301.6391,618.3837,302.89258,639.69354,315.4278,613.3696,317.9348,645.9611,327.963,609.6091,336.7376,642.20056,340.49817,617.1302,348.0193,634.67944,353.0334,620.89075,353.0334,633.4259,383.11786,618.3837,381.86432,633.4259,410.69525,620.89075,408.18823
1,627.6488,302.31067,630.16376,299.7957,625.1338,299.7957,632.6788,302.31067,620.1038,302.31067,640.2237,316.14307,613.8164,318.65805,647.7686,328.71796,608.78644,336.2629,642.73865,340.03537,616.33136,346.32285,633.9362,355.12527,620.1038,355.12527,633.9362,384.04755,618.8464,382.79007,631.42126,411.71234,620.1038,407.93985
2,628.6097,303.4024,629.86615,300.88947,626.09674,300.88947,633.63556,302.14594,621.07086,303.4024,641.17444,317.22357,614.78845,318.4801,648.71326,331.0448,609.7626,336.07068,643.6874,342.3531,617.30145,346.1225,634.892,356.17432,619.8144,356.17432,633.63556,383.8167,618.5579,382.56024,631.1226,411.45917,619.8144,407.6897
3,628.5264,303.6129,631.0486,301.09073,626.0042,301.09073,633.5708,302.3518,620.95984,303.6129,641.1374,317.485,614.65436,317.485,648.704,332.61813,609.61,336.40143,643.6596,342.7069,618.4376,346.4902,634.8319,356.57898,619.6987,356.57898,633.5708,385.5842,617.1766,384.3231,631.0486,412.06723,617.1766,407.02286
4,629.0489,303.51703,631.5589,301.00696,626.5388,302.26196,634.069,302.26196,621.51874,303.51703,641.5991,317.32227,615.2436,318.57727,650.3843,332.38257,610.2235,336.14764,642.8541,343.67773,617.75366,344.9328,635.324,357.48303,620.26373,357.48303,634.069,385.09357,616.49866,385.09357,630.3039,412.70404,615.2436,406.42896
5,629.04205,303.8472,631.56934,301.31992,626.5148,301.31992,634.0967,302.58356,622.7238,303.8472,641.6785,317.7473,615.14197,319.01096,650.52405,332.91104,610.0874,335.43835,642.9422,343.0202,617.66925,344.28387,636.62396,358.18396,621.4602,358.18396,634.0967,385.98416,615.14197,384.72052,631.56934,412.5207,611.351,404.93884
6,629.8225,303.98962,631.0852,300.2016,626.0344,301.46423,634.8732,302.72693,622.2464,303.98962,642.44934,317.87915,614.6703,319.14185,651.28815,333.03137,609.61957,335.55676,642.44934,343.13287,618.4583,345.65826,636.1359,357.0224,622.2464,357.0224,634.8732,386.06415,617.1957,383.53882,631.0852,412.58057,607.0942,406.26715
7,628.4821,302.93665,631.01306,300.4057,625.95123,301.67114,633.54395,302.93665,622.15485,304.2021,641.13666,316.85663,614.56213,319.3875,651.2603,332.04205,608.23486,335.83844,641.13666,342.1657,618.3585,344.6966,637.34033,357.35114,622.15485,357.35114,634.8094,386.4566,617.093,383.92572,631.01306,411.7657,606.9694,405.43842
8,628.6082,302.93326,631.13934,300.4021,626.0771,301.6677,633.67053,302.93326,622.2804,304.19882,641.2639,316.85452,614.68695,319.38568,651.3885,332.04138,608.3591,337.10367,639.99835,342.16595,618.48364,344.6971,637.4672,358.61838,621.0148,358.61838,634.9361,386.46094,617.2181,383.9298,631.13934,411.77237,608.3591,405.44452
9,628.8553,303.50635,631.37714,300.98444,626.3334,300.98444,633.89905,302.24542,621.28955,303.50635,641.4648,317.37683,613.7238,319.89874,650.29144,332.50824,608.68,337.55206,640.2038,342.5959,617.5067,345.1178,637.68195,357.7273,622.5505,357.7273,635.16003,386.7292,616.2457,384.20734,631.37714,413.20923,611.2019,405.6435
