nohup: ignoring input
第 1 轮, 损失: 26.2401, val loss 21.1518
第 2 轮, 损失: 18.8855, val loss 13.8436
第 3 轮, 损失: 15.1198, val loss 9.4876
第 4 轮, 损失: 11.7793, val loss 8.348
第 5 轮, 损失: 13.7473, val loss 8.0906
第 6 轮, 损失: 46.6953, val loss 7.9624
第 7 轮, 损失: 9.0799, val loss 7.8761
第 8 轮, 损失: 8.1736, val loss 7.8052
第 9 轮, 损失: 7.2731, val loss 7.7473
第 10 轮, 损失: 13.7163, val loss 7.7184
第 11 轮, 损失: 10.7099, val loss 7.6931
第 12 轮, 损失: 11.1543, val loss 7.648
第 13 轮, 损失: 13.6147, val loss 7.623
第 14 轮, 损失: 11.5233, val loss 7.5753
第 15 轮, 损失: 9.2736, val loss 7.5207
第 16 轮, 损失: 7.7163, val loss 7.4599
第 17 轮, 损失: 19.0215, val loss 7.4304
第 18 轮, 损失: 4.9461, val loss 7.4002
第 19 轮, 损失: 14.2348, val loss 7.3211
第 20 轮, 损失: 10.3498, val loss 7.2786
第 21 轮, 损失: 6.7814, val loss 7.26
第 22 轮, 损失: 10.4987, val loss 7.2
第 23 轮, 损失: 9.3637, val loss 7.1509
第 24 轮, 损失: 7.4321, val loss 7.1309
第 25 轮, 损失: 5.7129, val loss 7.086
第 26 轮, 损失: 10.2074, val loss 7.0493
第 27 轮, 损失: 8.2921, val loss 7.0271
第 28 轮, 损失: 12.5069, val loss 6.9535
第 29 轮, 损失: 8.8483, val loss 6.9075
第 30 轮, 损失: 7.1014, val loss 6.851
第 31 轮, 损失: 10.5608, val loss 6.7918
第 32 轮, 损失: 15.1451, val loss 6.7497
第 33 轮, 损失: 8.7947, val loss 6.6848
第 34 轮, 损失: 11.9612, val loss 6.652
第 35 轮, 损失: 6.9473, val loss 6.5971
第 36 轮, 损失: 8.0463, val loss 6.5602
第 37 轮, 损失: 9.0873, val loss 6.4718
第 38 轮, 损失: 15.0792, val loss 6.4238
第 39 轮, 损失: 10.2499, val loss 6.5088
第 40 轮, 损失: 7.9057, val loss 6.372
第 41 轮, 损失: 11.1200, val loss 6.3092
第 42 轮, 损失: 6.6352, val loss 6.306
第 43 轮, 损失: 12.2253, val loss 6.2845
第 44 轮, 损失: 12.8450, val loss 6.2269
第 45 轮, 损失: 13.1223, val loss 6.238
第 46 轮, 损失: 10.5451, val loss 6.1422
第 47 轮, 损失: 4.2174, val loss 6.0921
第 48 轮, 损失: 8.7131, val loss 6.0861
第 49 轮, 损失: 12.9611, val loss 6.034
第 50 轮, 损失: 11.0170, val loss 6.0489
第 51 轮, 损失: 8.3144, val loss 5.991
第 52 轮, 损失: 9.8906, val loss 6.0098
第 53 轮, 损失: 14.2605, val loss 5.936
第 54 轮, 损失: 8.5051, val loss 5.9613
第 55 轮, 损失: 10.1515, val loss 5.9038
第 56 轮, 损失: 10.5663, val loss 5.8291
第 57 轮, 损失: 19.3256, val loss 5.7946
第 58 轮, 损失: 7.9357, val loss 5.8196
第 59 轮, 损失: 10.3620, val loss 5.7549
第 60 轮, 损失: 7.9840, val loss 5.7779
第 61 轮, 损失: 10.9331, val loss 5.7047
第 62 轮, 损失: 10.9799, val loss 5.7005
第 63 轮, 损失: 6.8212, val loss 5.6828
第 64 轮, 损失: 6.8895, val loss 5.6614
第 65 轮, 损失: 6.7986, val loss 5.6302
第 66 轮, 损失: 9.3405, val loss 5.6093
第 67 轮, 损失: 10.4892, val loss 5.6595
第 68 轮, 损失: 10.9238, val loss 5.5673
第 69 轮, 损失: 9.0886, val loss 5.5851
第 70 轮, 损失: 7.3997, val loss 5.5755
第 71 轮, 损失: 5.9416, val loss 5.6159
第 72 轮, 损失: 9.0531, val loss 5.5197
第 73 轮, 损失: 8.3855, val loss 5.5035
第 74 轮, 损失: 10.7194, val loss 5.5277
第 75 轮, 损失: 11.2256, val loss 5.467
第 76 轮, 损失: 12.9851, val loss 5.451
第 77 轮, 损失: 9.7880, val loss 5.533
第 78 轮, 损失: 6.3714, val loss 5.4658
第 79 轮, 损失: 7.0458, val loss 5.4153
第 80 轮, 损失: 9.5641, val loss 5.4004
第 81 轮, 损失: 10.6521, val loss 5.5482
第 82 轮, 损失: 7.6343, val loss 5.3442
第 83 轮, 损失: 10.6399, val loss 5.3784
第 84 轮, 损失: 12.1625, val loss 5.3251
第 85 轮, 损失: 9.6616, val loss 5.3592
第 86 轮, 损失: 7.3287, val loss 5.3001
第 87 轮, 损失: 10.3578, val loss 5.3934
第 88 轮, 损失: 6.7982, val loss 5.2892
第 89 轮, 损失: 11.1112, val loss 5.2555
第 90 轮, 损失: 5.6545, val loss 5.3287
第 91 轮, 损失: 9.8430, val loss 5.2939
第 92 轮, 损失: 5.3620, val loss 5.187
第 93 轮, 损失: 9.3498, val loss 5.2632
第 94 轮, 损失: 6.3600, val loss 5.2333
第 95 轮, 损失: 12.2164, val loss 5.1733
第 96 轮, 损失: 8.9146, val loss 5.2073
第 97 轮, 损失: 8.4978, val loss 5.2515
第 98 轮, 损失: 12.6079, val loss 5.1606
第 99 轮, 损失: 7.6700, val loss 5.2061
第 100 轮, 损失: 6.5972, val loss 5.1668
第 101 轮, 损失: 2.8350, val loss 5.1426
第 102 轮, 损失: 7.7130, val loss 5.169
第 103 轮, 损失: 4.1270, val loss 5.0907
第 104 轮, 损失: 4.9762, val loss 5.1328
第 105 轮, 损失: 10.1303, val loss 5.0663
第 106 轮, 损失: 7.5442, val loss 5.1205
第 107 轮, 损失: 10.0539, val loss 5.2646
第 108 轮, 损失: 4.4277, val loss 5.0866
第 109 轮, 损失: 10.2121, val loss 5.065
第 110 轮, 损失: 6.0782, val loss 5.0814
第 111 轮, 损失: 7.8091, val loss 5.0857
第 112 轮, 损失: 7.1901, val loss 5.058
第 113 轮, 损失: 4.9601, val loss 5.092
第 114 轮, 损失: 7.0881, val loss 4.9854
第 115 轮, 损失: 7.7352, val loss 5.0301
第 116 轮, 损失: 13.1440, val loss 5.0189
第 117 轮, 损失: 10.5153, val loss 4.9567
第 118 轮, 损失: 12.7275, val loss 5.0291
第 119 轮, 损失: 3.4168, val loss 4.9679
第 120 轮, 损失: 7.6631, val loss 4.9397
第 121 轮, 损失: 8.3440, val loss 4.9625
第 122 轮, 损失: 14.9768, val loss 4.955
第 123 轮, 损失: 12.5877, val loss 4.9638
第 124 轮, 损失: 12.1005, val loss 5.0102
第 125 轮, 损失: 16.8565, val loss 4.953
第 126 轮, 损失: 10.9132, val loss 5.033
第 127 轮, 损失: 8.5035, val loss 4.914
第 128 轮, 损失: 8.4980, val loss 4.9316
第 129 轮, 损失: 11.2661, val loss 4.8893
第 130 轮, 损失: 8.0586, val loss 5.012
第 131 轮, 损失: 17.7758, val loss 4.9049
第 132 轮, 损失: 10.5156, val loss 4.9136
第 133 轮, 损失: 5.5977, val loss 4.9181
第 134 轮, 损失: 9.4265, val loss 4.8998
第 135 轮, 损失: 13.1678, val loss 4.8254
第 136 轮, 损失: 10.6597, val loss 4.9004
第 137 轮, 损失: 9.1860, val loss 4.9101
第 138 轮, 损失: 9.9357, val loss 4.8625
第 139 轮, 损失: 7.6718, val loss 4.8562
第 140 轮, 损失: 5.6603, val loss 4.8459
第 141 轮, 损失: 9.4635, val loss 4.8653
第 142 轮, 损失: 6.4746, val loss 4.9139
第 143 轮, 损失: 10.9408, val loss 4.8269
第 144 轮, 损失: 12.0638, val loss 4.8522
第 145 轮, 损失: 5.1321, val loss 4.8579
第 146 轮, 损失: 14.7238, val loss 4.8242
第 147 轮, 损失: 5.6289, val loss 4.8284
第 148 轮, 损失: 9.4131, val loss 4.7772
第 149 轮, 损失: 10.3520, val loss 4.8198
第 150 轮, 损失: 4.3007, val loss 4.8041
第 151 轮, 损失: 6.0659, val loss 4.7902
第 152 轮, 损失: 6.2937, val loss 4.7753
第 153 轮, 损失: 8.8294, val loss 4.8094
第 154 轮, 损失: 11.4038, val loss 4.7582
第 155 轮, 损失: 12.5534, val loss 4.8314
第 156 轮, 损失: 8.2303, val loss 4.9135
第 157 轮, 损失: 6.7030, val loss 4.758
第 158 轮, 损失: 6.6131, val loss 4.6548
第 159 轮, 损失: 6.0259, val loss 4.7728
第 160 轮, 损失: 9.2821, val loss 4.7599
第 161 轮, 损失: 5.3908, val loss 4.7154
第 162 轮, 损失: 9.5531, val loss 4.7601
第 163 轮, 损失: 6.4179, val loss 4.6628
第 164 轮, 损失: 6.6815, val loss 4.6586
第 165 轮, 损失: 15.6585, val loss 4.6524
第 166 轮, 损失: 8.0195, val loss 4.694
第 167 轮, 损失: 5.1098, val loss 4.5937
第 168 轮, 损失: 9.9285, val loss 4.7156
第 169 轮, 损失: 5.8155, val loss 4.6269
第 170 轮, 损失: 11.3307, val loss 4.7118
第 171 轮, 损失: 4.9213, val loss 4.799
第 172 轮, 损失: 9.4973, val loss 4.6451
第 173 轮, 损失: 9.1477, val loss 4.6092
第 174 轮, 损失: 3.6218, val loss 4.6451
第 175 轮, 损失: 11.6249, val loss 4.606
第 176 轮, 损失: 5.5291, val loss 4.5859
第 177 轮, 损失: 3.0106, val loss 4.6664
第 178 轮, 损失: 3.1008, val loss 4.6609
第 179 轮, 损失: 9.8923, val loss 4.7175
第 180 轮, 损失: 3.5988, val loss 4.5257
第 181 轮, 损失: 11.2933, val loss 4.6263
